00:00:5E:00:53:AF, 192.168.0.0, Tue Apr 26 19:44:40 COT 2022, Tue Apr 26 19:44:40 COT 2022, PC-ANGELLO
00:00:5E:00:54:AF, 192.168.134.16, Mon Apr 25 19:44:40 COT 2022, Tue Apr 26 19:44:40 COT 2022, PC-ESTEBAN
00:00:5E:00:55:AF, 192.168.134.15, Sun Apr 24 19:44:40 COT 2022, Tue Apr 26 19:44:40 COT 2022, PC-NICOLAS
00:00:5E:00:56:AF, 192.168.134.14, Sat Apr 23 19:44:40 COT 2022, Tue Apr 26 19:44:40 COT 2022, PC-PRUEBA
18:C0:4D:52:CD:9F, 192.168.134.17, Sun May 01 11:48:01 COT 2022, Sun May 01 11:48:01 COT 2022, DESKTOP-VH15CEF
72:EC:D2:7C:F9:D6, 192.168.134.18, Sun May 01 12:52:08 COT 2022, Sun May 01 12:52:08 COT 2022, Galaxy-A21s-de-Ana
3A:26:39:27:05:3F, 192.168.134.19, Sun May 01 13:39:51 COT 2022, Sun May 01 13:39:51 COT 2022, 
96:AA:A4:10:F5:B7, 192.168.134.20, Sun May 01 13:41:45 COT 2022, Sun May 01 13:41:45 COT 2022, 
EE:0B:EC:A3:A2:25, 192.168.134.21, Sun May 01 19:56:48 COT 2022, Sun May 01 19:56:48 COT 2022, 
D4:6A:6A:0D:9E:E6, 192.168.134.22, Sun May 01 21:48:46 COT 2022, Sun May 01 21:48:46 COT 2022, 
